,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
92,Addison,32.9585082,-96.8369852,Maguire's North Dallas,32.990102371557484,-96.82866661963105,American Restaurant
93,Addison,32.9585082,-96.8369852,LUSH,32.929935246176825,-96.81982822453693,Miscellaneous Shop
94,Addison,32.9585082,-96.8369852,Snappy Salads,32.951210959074,-96.80320140766877,Salad Place
95,Addison,32.9585082,-96.8369852,The Diner of Dallas,32.95298451373935,-96.8666739211559,Diner
96,Addison,32.9585082,-96.8369852,Chick-fil-A,32.9229459,-96.838658,Restaurant
97,Addison,32.9585082,-96.8369852,Norma's Cafe,32.990564102845184,-96.83068611655497,Café
98,Addison,32.9585082,-96.8369852,Salon D,32.93393209821312,-96.82371066049558,Cosmetics Shop
99,Addison,32.9585082,-96.8369852,Oceanaire Seafood Room,32.929788,-96.820221,Seafood Restaurant
100,Balch Springs,32.7139333,-96.6180523,Popeyes Louisiana Kitchen,32.71894540950856,-96.6228583026475,Fried Chicken Joint
101,Balch Springs,32.7139333,-96.6180523,Sale Place,32.720300895306735,-96.61468736351888,Arts & Crafts Store
102,Balch Springs,32.7139333,-96.6180523,Captain D's,32.71981963653527,-96.61527559161186,Seafood Restaurant
103,Balch Springs,32.7139333,-96.6180523,QuikTrip,32.73694172005728,-96.61061056708233,Convenience Store
104,Balch Springs,32.7139333,-96.6180523,Tom Thumb,32.7461026,-96.5863268,Grocery Store
105,Balch Springs,32.7139333,-96.6180523,The Home Depot,32.72121737392138,-96.61858109760942,Hardware Store
106,Balch Springs,32.7139333,-96.6180523,SONIC Drive In,32.74705013433431,-96.59750336239745,Fast Food Restaurant
107,Balch Springs,32.7139333,-96.6180523,Sonic,32.72070693857473,-96.61381880567492,Fast Food Restaurant
108,Balch Springs,32.7139333,-96.6180523,Tom Thumb Gas,32.74615372856241,-96.58395141363144,Grocery Store
109,Balch Springs,32.7139333,-96.6180523,El Rio Grande Latin Market,32.73558187446756,-96.64616982953454,Grocery Store
110,Balch Springs,32.7139333,-96.6180523,QuikTrip,32.768997042622765,-96.62002325926883,Convenience Store
111,Balch Springs,32.7139333,-96.6180523,Albertsons,32.7453598,-96.595274,Grocery Store
112,Balch Springs,32.7139333,-96.6180523,Griff's Hamburgers,32.76763115924506,-96.62936393731121,Burger Joint
113,Balch Springs,32.7139333,-96.6180523,Valley Creek Ball Park,32.73558107329336,-96.58960840395116,Park
114,Balch Springs,32.7139333,-96.6180523,Leonardos tex mex,32.67383078694046,-96.59867286955217,Mexican Restaurant
115,Balch Springs,32.7139333,-96.6180523,Joes Pizza And Pasta,32.76516103625254,-96.59858952153598,Pizza Place
116,Balch Springs,32.7139333,-96.6180523,DQ Restaurant,32.707317,-96.656882,Fast Food Restaurant
117,Balch Springs,32.7139333,-96.6180523,El Palote Panaderia,32.755956168700116,-96.68341360542088,Vegetarian / Vegan Restaurant
118,Balch Springs,32.7139333,-96.6180523,Shaved Ice Snow Cones,32.74901796666666,-96.66620358333333,Dessert Shop
119,Balch Springs,32.7139333,-96.6180523,Griff's Hamburgers,32.73257225655466,-96.6824892552107,Burger Joint
120,Balch Springs,32.7139333,-96.6180523,Soulman's Bar-B-Que,32.779379780356415,-96.62285396214993,BBQ Joint
121,Balch Springs,32.7139333,-96.6180523,Walgreens,32.74625048064295,-96.58286638989676,Pharmacy
122,Balch Springs,32.7139333,-96.6180523,The House of Gyros,32.765199107328726,-96.58783009247864,Greek Restaurant
123,Balch Springs,32.7139333,-96.6180523,Dollar General,32.72080303573707,-96.61487674953604,Discount Store
124,Balch Springs,32.7139333,-96.6180523,Whataburger,32.769932166381665,-96.59773527760186,Burger Joint
125,Balch Springs,32.7139333,-96.6180523,Taco Casa,32.77249466152587,-96.59965691973429,Taco Place
126,Balch Springs,32.7139333,-96.6180523,Dairy Queen,32.76763248918473,-96.62837022009684,Fast Food Restaurant
127,Balch Springs,32.7139333,-96.6180523,Mesquite BBQ Since 1959,32.76619224705803,-96.5974278310503,BBQ Joint
128,Balch Springs,32.7139333,-96.6180523,Circle K,32.7034009,-96.6050504,Convenience Store
129,Balch Springs,32.7139333,-96.6180523,Sonic,32.7056808,-96.5856378,Fast Food Restaurant
130,Balch Springs,32.7139333,-96.6180523,7-Eleven,32.7355509,-96.5590883,Convenience Store
131,Balch Springs,32.7139333,-96.6180523,Cicis,32.7636919338984,-96.5842249989509,Pizza Place
132,Balch Springs,32.7139333,-96.6180523,Family Dollar,32.71432258955602,-96.60591461345766,Discount Store
133,Balch Springs,32.7139333,-96.6180523,McDonald's,32.71286697018813,-96.68479358403512,Fast Food Restaurant
134,Balch Springs,32.7139333,-96.6180523,Kroger,32.7446212,-96.5536826,Supermarket
135,Balch Springs,32.7139333,-96.6180523,Kroger,32.771852560199015,-96.60001180644956,Supermarket
136,Balch Springs,32.7139333,-96.6180523,QuikTrip,32.769919139478375,-96.61669850349426,Convenience Store
137,Balch Springs,32.7139333,-96.6180523,Dairy Queen,32.77704309529059,-96.61895772347748,Fast Food Restaurant
138,Balch Springs,32.7139333,-96.6180523,Wells Fargo Bank,32.7665857,-96.5999012,Bank
139,Balch Springs,32.7139333,-96.6180523,Little Caesars Pizza,32.718681,-96.605799,Pizza Place
140,Balch Springs,32.7139333,-96.6180523,Liquor Depot,32.705280582159084,-96.62523209384722,Liquor Store
141,Balch Springs,32.7139333,-96.6180523,Kroger,32.7203043,-96.620786,Supermarket
142,Balch Springs,32.7139333,-96.6180523,Chicken Express,32.76513543049921,-96.58533791225896,Fast Food Restaurant
143,Balch Springs,32.7139333,-96.6180523,Pizza Hut,32.719017409343856,-96.6200271248818,Pizza Place
144,Balch Springs,32.7139333,-96.6180523,Corner Store,32.7797027,-96.6232417,Convenience Store
145,Balch Springs,32.7139333,-96.6180523,Dal-Tile Corporation Corporate Headquarters,32.716511130722886,-96.68610678445125,Outdoor Supply Store
146,Balch Springs,32.7139333,-96.6180523,Redbox,32.719385,-96.621234,Video Store
147,Balch Springs,32.7139333,-96.6180523,7-Eleven,32.759977055126,-96.5610507130622,Convenience Store
148,Balch Springs,32.7139333,-96.6180523,Family Dollar,32.72004365072537,-96.6214601547469,Discount Store
149,Balch Springs,32.7139333,-96.6180523,Subway,32.703224627407735,-96.58582813884826,Sandwich Place
150,Balch Springs,32.7139333,-96.6180523,Shipley Do-Nuts,32.767353,-96.602637,Donut Shop
151,Balch Springs,32.7139333,-96.6180523,Martinez Restaurant,32.777111200746035,-96.62003183709551,Mexican Restaurant
152,Balch Springs,32.7139333,-96.6180523,Atheneos Greek Village Cafe,32.782903737407736,-96.62742336386022,Greek Restaurant
153,Balch Springs,32.7139333,-96.6180523,Denny's,32.7070118,-96.5853876,American Restaurant
154,Balch Springs,32.7139333,-96.6180523,Crawford Park,32.71447470406484,-96.67050361633301,Park
155,Balch Springs,32.7139333,-96.6180523,Sonic,32.68131354271006,-96.65794840336828,Fast Food Restaurant
156,Balch Springs,32.7139333,-96.6180523,Dairy Queen,32.70755159573408,-96.65680405434956,Fast Food Restaurant
157,Balch Springs,32.7139333,-96.6180523,Pine Tree Chinese Garden,32.719082,-96.613808,Asian Restaurant
158,Balch Springs,32.7139333,-96.6180523,Joe's Crab Shack,32.78432065920527,-96.62537551440077,Seafood Restaurant
159,Balch Springs,32.7139333,-96.6180523,Gonzalez Restaurant,32.749459,-96.681882,Mexican Restaurant
160,Balch Springs,32.7139333,-96.6180523,howard catfish,32.754272,-96.583193,Seafood Restaurant
161,Balch Springs,32.7139333,-96.6180523,CVS pharmacy,32.719589820991516,-96.62307361722884,Pharmacy
162,Balch Springs,32.7139333,-96.6180523,Sonic,32.73400732583063,-96.68182336223543,Fast Food Restaurant
163,Balch Springs,32.7139333,-96.6180523,Trinity Forest Adventure Park,32.68898323982095,-96.67625594055208,Recreation Center
164,Balch Springs,32.7139333,-96.6180523,Planet Fitness,32.74079810535041,-96.68415955078484,Gym / Fitness Center
165,Balch Springs,32.7139333,-96.6180523,7-Eleven,32.7191234707367,-96.6824568808078,Convenience Store
166,Balch Springs,32.7139333,-96.6180523,Taqueria taxco,32.7826211,-96.600489,Latin American Restaurant
167,Balch Springs,32.7139333,-96.6180523,Domino's Pizza,32.71170338225506,-96.60496115684509,Pizza Place
168,Balch Springs,32.7139333,-96.6180523,Golden Chick,32.70143878845669,-96.65753482921649,American Restaurant
169,Balch Springs,32.7139333,-96.6180523,La Sabrocita Tortilleria,32.749344,-96.665286,Mexican Restaurant
170,Balch Springs,32.7139333,-96.6180523,SUBWAY,32.734071,-96.682239,Sandwich Place
171,Balch Springs,32.7139333,-96.6180523,Church's Chicken,32.703321700320004,-96.60684925088385,Fried Chicken Joint
172,Balch Springs,32.7139333,-96.6180523,KFC,32.7198106797318,-96.61504565090888,Fried Chicken Joint
173,Balch Springs,32.7139333,-96.6180523,Cicis,32.738064079600996,-96.68304408209164,Pizza Place
174,Balch Springs,32.7139333,-96.6180523,Charco Broiler,32.73968012833197,-96.68277325477806,Steakhouse
175,Balch Springs,32.7139333,-96.6180523,Wingstop,32.739344015866884,-96.68422961462227,Wings Joint
176,Balch Springs,32.7139333,-96.6180523,7-Eleven,32.676582172851724,-96.6013609625694,Convenience Store
177,Balch Springs,32.7139333,-96.6180523,Dollar General,32.677498448110185,-96.60020998294732,Discount Store
178,Balch Springs,32.7139333,-96.6180523,Hall's Chicken Shack,32.753266692804615,-96.68337891904675,Southern / Soul Food Restaurant
179,Balch Springs,32.7139333,-96.6180523,Lindy's Home Cooking,32.7013903621493,-96.60377909824483,Café
180,Balch Springs,32.7139333,-96.6180523,Sonic,32.67536262070253,-96.60257250275836,Fast Food Restaurant
181,Balch Springs,32.7139333,-96.6180523,Dollar Tree,32.740993,-96.684157,Discount Store
182,Balch Springs,32.7139333,-96.6180523,Redbox,32.744135,-96.552047,Video Store
183,Balch Springs,32.7139333,-96.6180523,SUBWAY,32.7604584152835,-96.68323207159172,Sandwich Place
184,Balch Springs,32.7139333,-96.6180523,Domino's Pizza,32.74910896071413,-96.66630059480667,Pizza Place
185,Balch Springs,32.7139333,-96.6180523,Lake June Thrift,32.733733774877365,-96.66480127190809,Thrift / Vintage Store
186,Balch Springs,32.7139333,-96.6180523,Long John Silver,32.74819952729863,-96.6833991738308,Seafood Restaurant
187,Balch Springs,32.7139333,-96.6180523,Chase Bank,32.744048,-96.682174,Bank
188,Balch Springs,32.7139333,-96.6180523,Wendy's,32.744585176448865,-96.68244792359019,Fast Food Restaurant
189,Balch Springs,32.7139333,-96.6180523,Family Dollar,32.722371791493615,-96.70014815245715,Discount Store
190,Balch Springs,32.7139333,-96.6180523,Family Dollar,32.686631187722696,-96.58687616232146,Discount Store
191,Balch Springs,32.7139333,-96.6180523,Walgreens,32.74844786696506,-96.68210325617409,Pharmacy
192,Balch Springs,32.7139333,-96.6180523,Circle K,32.734685,-96.682849,Gas Station
193,Balch Springs,32.7139333,-96.6180523,U-Haul Moving & Storage at Jim Miller Rd,32.72331533851415,-96.6998491115146,Business Service
194,Balch Springs,32.7139333,-96.6180523,Church's Chicken,32.73349950008773,-96.68261066394894,Fried Chicken Joint
195,Balch Springs,32.7139333,-96.6180523,CVS pharmacy,32.73392199361695,-96.68321686661656,Pharmacy
196,Balch Springs,32.7139333,-96.6180523,Family Dollar,32.71301115601775,-96.68532819179202,Discount Store
197,Balch Springs,32.7139333,-96.6180523,KFC,32.74289467227427,-96.68336982514859,Fried Chicken Joint
198,Balch Springs,32.7139333,-96.6180523,Pizza Hut,32.751532,-96.684408,Pizza Place
199,Balch Springs,32.7139333,-96.6180523,Shell,32.70299306724623,-96.58589694596805,Gas Station
200,Carrollton,32.9883599,-96.8997702,Chick-fil-A,32.98617,-96.9092826,Fast Food Restaurant
201,Carrollton,32.9883599,-96.8997702,LA Burger,32.98474030960439,-96.90834571568217,Burger Joint
202,Carrollton,32.9883599,-96.8997702,Kura Sushi,32.98208621581733,-96.90807342381436,Sushi Restaurant
203,Carrollton,32.9883599,-96.8997702,85C Bakery Cafe,32.98097,-96.907826,Bakery
204,Carrollton,32.9883599,-96.8997702,Spa Castle Inc,32.987155332987804,-96.90776712036605,Spa
205,Carrollton,32.9883599,-96.8997702,Super H-Mart,32.98499026997583,-96.91196632132015,Supermarket
206,Carrollton,32.9883599,-96.8997702,Fred's Downtown Philly,32.984068330605155,-96.8904466017305,Sandwich Place
207,Carrollton,32.9883599,-96.8997702,kinokuniya,32.981399545109255,-96.90795346101433,Bookstore
208,Carrollton,32.9883599,-96.8997702,Gen Korean BBQ,32.981904603410406,-96.90802908316157,Korean Restaurant
209,Carrollton,32.9883599,-96.8997702,Kung Fu Tea,32.981561,-96.907724,Bubble Tea Shop
210,Carrollton,32.9883599,-96.8997702,Nob Hill Greenbelt,32.98541109252281,-96.89735535125374,Trail
211,Carrollton,32.9883599,-96.8997702,Tous Les Jours,32.9849173254703,-96.91197314171508,Bakery
212,Carrollton,32.9883599,-96.8997702,Lone Star Beverages,32.9991191,-96.88748389999999,Liquor Store
213,Carrollton,32.9883599,-96.8997702,Mom's Cafe,32.999433563515765,-96.90939706032684,Café
214,Carrollton,32.9883599,-96.8997702,Whataburger,32.98425015192436,-96.90792296826424,Burger Joint
215,Carrollton,32.9883599,-96.8997702,Pho Bistro,32.998556630220435,-96.90923142163409,Vietnamese Restaurant
216,Carrollton,32.9883599,-96.8997702,Joe's Pizza,33.00067551160105,-96.88708860440506,Pizza Place
217,Carrollton,32.9883599,-96.8997702,Yogurtland,32.985786,-96.912548,Dessert Shop
218,Carrollton,32.9883599,-96.8997702,Taste of Korea,32.98633546585583,-96.91100567972755,Korean Restaurant
219,Carrollton,32.9883599,-96.8997702,Too Thai Street Eats,32.98207047659681,-96.9080410727389,Thai Restaurant
220,Carrollton,32.9883599,-96.8997702,99 Ranch Market,32.98100144864071,-96.90870689298166,Supermarket
221,Carrollton,32.9883599,-96.8997702,T-Swirl Crepes,32.98250280220969,-96.9079744776712,Creperie
222,Carrollton,32.9883599,-96.8997702,Charm Juk,32.98549647893299,-96.91238768985059,Korean Restaurant
223,Carrollton,32.9883599,-96.8997702,Cafe China & Pho,32.99913430150221,-96.9088580685481,Vietnamese Restaurant
224,Carrollton,32.9883599,-96.8997702,Al Markaz Restaurant,32.981797439612954,-96.91590828505777,Indian Restaurant
225,Carrollton,32.9883599,-96.8997702,Fruitealicious,32.97413086618662,-96.88904251943605,Juice Bar
226,Carrollton,32.9883599,-96.8997702,Ulta Beauty,32.989142752441786,-96.88925531970429,Cosmetics Shop
227,Carrollton,32.9883599,-96.8997702,Nico's Cocina,32.998347340288824,-96.88751998651061,Mexican Restaurant
228,Carrollton,32.9883599,-96.8997702,Starbucks,32.967699300895276,-96.92005902528763,Coffee Shop
229,Carrollton,32.9883599,-96.8997702,Brother's Pizza,32.96901259342128,-96.91896931973979,Pizza Place
230,Carrollton,32.9883599,-96.8997702,Babe's Chicken Dinner House,32.952786882295925,-96.9076236939209,Southern / Soul Food Restaurant
231,Carrollton,32.9883599,-96.8997702,Rosemeade Rec Center,33.01074179450046,-96.90574407577515,Gym / Fitness Center
232,Carrollton,32.9883599,-96.8997702,Cane Rosso,32.951265768205985,-96.90691778333299,Pizza Place
233,Carrollton,32.9883599,-96.8997702,Mary Heads Carter Park,32.975457918599496,-96.872459272654,Park
234,Carrollton,32.9883599,-96.8997702,Braum's Ice Cream & Dairy Store,32.972005705641344,-96.88947981953967,Ice Cream Shop
235,Carrollton,32.9883599,-96.8997702,Twisted Root Burger Co.,32.952554686354496,-96.90648942015382,American Restaurant
236,Carrollton,32.9883599,-96.8997702,Fuzzy's Taco Shop,33.022854,-96.884354,Mexican Restaurant
237,Carrollton,32.9883599,-96.8997702,Fitness Connection,32.98509388166145,-96.85344049297954,Gym
238,Carrollton,32.9883599,-96.8997702,Sprouts Farmers Market,33.02550890908342,-96.88858330249786,Grocery Store
239,Carrollton,32.9883599,-96.8997702,Starbucks,32.99747340936639,-96.85758743499612,Coffee Shop
240,Carrollton,32.9883599,-96.8997702,Oak Hill Park,33.02286814881756,-96.90767333015903,Playground
241,Carrollton,32.9883599,-96.8997702,Daiquiri Shoppe,32.99156690981191,-96.94158463265525,Bar
242,Carrollton,32.9883599,-96.8997702,Andy's Frozen Custard,33.02488508163066,-96.88907053616626,Ice Cream Shop
243,Carrollton,32.9883599,-96.8997702,Coconut Thai Grill,32.95292,-96.871546,Thai Restaurant
244,Carrollton,32.9883599,-96.8997702,Krispy Kreme Doughnuts,32.99925826675287,-96.85605707204923,Donut Shop
245,Carrollton,32.9883599,-96.8997702,Castle Nails,33.02495282202787,-96.88900551098253,Nail Salon
246,Carrollton,32.9883599,-96.8997702,Casa Vieja,32.954985916662,-96.88757065548765,South American Restaurant
247,Carrollton,32.9883599,-96.8997702,Serenity Nails And Day Spa,33.01987244450012,-96.91377645036025,Nail Salon
248,Carrollton,32.9883599,-96.8997702,La Hacienda Ranch Carrollton,32.99323832247205,-96.94557316602571,Mexican Restaurant
249,Carrollton,32.9883599,-96.8997702,EL Rincon Mexican Kitchen & Tequila Bar,32.951657912264466,-96.90826199051011,Mexican Restaurant
250,Carrollton,32.9883599,-96.8997702,Fujiyama Sushi & Yakitori Bar,32.998492341739826,-96.8450495661676,Sushi Restaurant
251,Carrollton,32.9883599,-96.8997702,Rosemeade Market & Greenhouse,33.01144834917845,-96.85483924912107,Grocery Store
252,Carrollton,32.9883599,-96.8997702,Dallas North Aquarium,32.98672283635426,-96.85075459791605,Pet Store
253,Carrollton,32.9883599,-96.8997702,Pie 314 Everyday Eatery,33.036032570472194,-96.89754412192298,Pizza Place
254,Carrollton,32.9883599,-96.8997702,El Paisa Cocina Mexicana,32.9691119279439,-96.91899313149078,Mexican Restaurant
255,Carrollton,32.9883599,-96.8997702,Mena's Tex Mex Grill,32.984833561571385,-96.85449778022611,Mexican Restaurant
256,Carrollton,32.9883599,-96.8997702,Big D Party Rentals,32.97724536480488,-96.8385205615377,Shop & Service
